Tweet,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,num_labels
umat apaan onta ya ustad apa nabi bawa umat ustad cangkeman,0,1,1,0,0,0,2
cebonger mana nih junjungannya mau ditembak kok pada tiarap apa karena masih satu habitat makanya pada bisu berjemaah,0,1,0,0,1,0,2
biarlah pak gubernur daerah khusus ibukota itu selesaikan dulu tugasnya supaya full menampak hasil kerja krs beliau salam tahun tahun tidak lama sabar selesaikan dulu jabatan yang sudah di amanahkan oleh rakyat dengan susah payah pak anies masih muda jalan masih penjaga insya,0,0,0,0,0,0,0
anti jokowi bagi bani kampret itu sudah jadi rukun iman mereka kali iya bang xf x f x x xf x f x x xf x f x x xf x f x x xf x f x x,0,1,0,0,0,0,1
penetrasi gubernur jawa tengah jawa tengah non aktif ganjar pranowo ke kementerian pertanian kementerian pertahanan membuahkan hasil lupa boleh ngawur jangan pilgubjateng kami ganjar yasin ganjar yasin jawa tengah gayeng xlagi partai demokrasi indonesia perjuangan kandangbant ng,0,0,0,0,0,0,0
cebong kamu kayak pantat kodok,1,0,0,0,1,0,2
Perusak cina bangsa setuju usir,0,1,0,1,0,0,2
op rohingya teroris teroris botak buddha resource uniform locator,0,1,1,0,1,0,3
Manusia dia produk dungunya pangkat dungu akibat lahir otaknya dungu jadi dungu wajahnya pun dungu karena suka hina semua dengan dungu,1,0,0,0,1,0,2
dulu jaman sampai negeri di boyolali jadi satu nya murid katolik seangkatan gurunya agama menyambi sekolah jadi kadang tidak datang beberapa kali saking gabutnya ikut pelajaran agama islam tidak ada merasa diketawain ata,0,0,0,0,0,0,0
yang pasti rakyat bukan cina rakyat bukan indonesia anak keturunan partai komunis indonesia paham uniform resource locator,0,1,0,1,0,0,2
ini kejadian tadi pagi di bogor ada pedagang kaos ganti presiden tetapi sayang tidak ada yang tertarik pedagang yang lain malah ramai karena sepi sih pedagang membereskan dagangannya amp pulang padahal saat dia beres justru lagi ramai nya pengunjung masyarakat masih waras amp ce,0,0,0,0,0,0,0
bangsat tersedak gue kentang wkwk lendir tolol memek anjing,1,0,0,0,0,1,2
salahnya dia mukanya jelek mulutnya selamat tinggal otaknya kotor apalagi partai munafik didikan mengakui dakwah kelakuan bejat,0,1,1,0,1,0,3
agar muslim moderat tak jadi sasaran tembak islam majelis ulama indonesia kalau baru terduga ditembak tak setuju,0,1,1,0,0,0,2
jadi cowok itu harus kalau gantle tidak gantle namanya itu banci,0,1,0,0,0,1,2
jokowi mengatakan sebuah negara akan kuat bila umara pemerintah dan ulama berjalan beriringan dan selalu bersilaturahmi,0,0,0,0,0,0,0
bro kamu sebut kitab suci fiksi berarti semua agama bukan dari wahyu pernyataan surat pemberitahuan tahunan ini mutlak secara harfiah dan filosofis melanggar keyakinan umat beragama konstitusi dan norma agama kamu ini penista semua agama yang paling kotor ateis mati,1,0,1,0,0,0,2
Udik benar kasihan mau ditiduri,1,0,0,0,0,1,2
tim anies sandi kaget indra piliang ditangkap terkait narkoba uniform resource locator uniform resource locator front pembela islam hati anies sandi rizieq buni jonru saracen orangnya itu saja,1,0,0,0,0,0,1
cebong kafir munafik alay goblok haha,1,0,0,0,0,0,1
luhut sih muka bajingan sekarang perusahaannya duit banyak mana dari dia,1,0,0,0,1,0,2
he sinting ya uniform kamu locator resource,1,0,0,0,1,0,2
atasi setan yang bernama cinta,0,0,0,0,0,0,0
mengaca idiot idiot,1,0,0,0,1,0,2
agar muslim moderat tak jadi tembak buang islam majelis ulama indonesia kalau baru terduga sudah ditembak setuju,0,1,1,0,0,0,2
cintai budaya kita bro,0,0,0,0,0,0,0
ini sebenarnya yang membuat kita sampai sekarang paranoid setengah mati dengan tionghoa dan overseas cina mengikuti asas kewarganegaraannya adalah ius sanguinis alias mau lahir dimanapun otomatis warga negara tiongkok baik itu nasionalis taiwan,0,0,0,0,0,0,0
bolot daki alias x xf f x x,1,0,0,0,1,0,2
he he he sebenarnya nya gue sudah malas meladeni komentar kamu tetapi jujur saja gue kasihan sama kamu dari karena pertanyaan kamu di atas saja gue semakin yakin kalau kamu idiot itu nih gue bantu jelaskan pelan ya biar otak kamu bisa nangka,1,0,0,0,1,0,2
tidak pernah berubah memang biu dan bisa jadi orang itu bukan bermaksud munafik sama perasaannya tapi siapa tau itu tameng kebahagiaan dia dan memikirkan kebahagiaan adalah enggak ada habisnya mending tidur,0,0,0,0,0,0,0
jadi benar bahwa rezim saat ini adalah rezim komunis kok tanda tanda seperti nya mengarah kesana ya,1,0,0,1,0,0,2
sudah tak bisa dipungkiri lagi jokowi rezim adalah rezim islam anti,1,0,1,0,0,0,2
doa saya di hijr ismail beri hidayah orang yang berlindung dalam bungkus islam tapi musuh islam beri kami kesabaran demi utuhnya negara kesatuan republik indonesia bimbing kami wujudkan islam rahmatan lil alamin lindungi bangsa dan negara kami beri kami pemimpin,0,0,0,0,0,0,0
banci kaleng malu tidak bisa jawab pertanyaan kami dari hari lalu nyungsep uniform koe locator resource,1,0,0,0,0,1,2
dalam perpolitikan di suatu negara butuh partai komunis biar ujung nya kebijakan pemerintah minimal sosialis iya kan logikanya sebagian besar aset negara sudah di tangan privat,0,0,0,0,0,0,0
salah pangkah tai dapat tai lgbt liberal raja menentang xc xb pengampu kafir harbi,0,1,1,0,0,1,3
kayak banci,1,0,0,0,0,1,2
teriak teriak partai komunis indonesia ganyang kamu salat tidak mengaji tidak kamu punya tuhan tidak jangan kamu sendiri yang partai komunis indonesia uniform resource locator,1,0,0,1,0,0,2
prabowo subianto tetaplah prabowo subianto yang merupakan anak biologis soemitro djojohadikoesoemo penghianat bangsa uniform resource locator,1,0,0,0,0,0,1
ah itu perasaan kamu saja bukti nya muslim rohingya di usir dari myanmar karena memerkosa gadis buddha itu tanda nya bejat,0,1,1,0,0,0,2
meluat betul aku dengan orang kedai yang sombong gaji kamu pun sebab customer sok muka perangai jaga itu pun nak kena xe x xa,1,0,0,0,1,0,2
link baru yang ini nih baru asli bapak indonesia yang menonton bakal ngaceng terus apalagi kalau unduh full video dari awal xe x xa,0,0,0,0,0,0,0
beritanya bohong mulu nih pak jokowi uniform resource locator,1,0,0,0,0,0,1
mungkin sebenarnya seungmin idiot xf x f c x x a xf x f x c x a xf x f x c x a,1,0,0,0,1,0,2
hati sama mugkin layak di,0,1,1,0,0,0,2
plagiat lagu xf x f x x xf x f x x xf x f x x xf x f x x xf x x xf x f x x xf x f x x kaum kontol,0,1,0,0,0,1,2
selamat datang ya itu ada kampret merahnya dan iya kamu kampretnya tidak,1,0,0,0,0,0,1
kenapa tidak meminta sekalian lengserkan jokowi biar sekalian kelihatan gobloknya,1,0,0,0,0,0,1
jadi ingat uang jajan sama yang sedikit pakai kepotong bensin anter jemput sekolah tiap hari akhir pekan bela in dan xe x xa,0,0,0,0,0,0,0
ulama suram,1,0,0,0,1,0,2
babi haram babu halal hanya ulah bejat mencatut tuhan,0,1,1,0,0,0,2
kamu dungu ya kata kok yang di dukung prabowo itu tanya cong bukan menyerang hadehhh dasar banci ya,1,0,0,0,0,1,2
nanti lagi dukhan muslim sehat saja hanya kena flu sedikit kafir amp munafik keluar nanah dari telinga tubuhnya bengkak hari kemudian modar,0,1,1,0,0,0,2
saya suka nakal memang sih memojok,0,0,0,0,0,0,0
jadi ingat tanah abang trotoar dan sampah,0,0,0,0,0,0,0
sepertinya efek dari undang undang md boleh berbicara sesuka hati,0,0,0,0,0,0,0
goblok kamu itu orang yang berbeda cong uniform resource locator,1,0,0,0,0,0,1
wah pak susilo bambang yudhoyono pencitraan nih wkwk,1,0,0,0,0,0,1
gue anjing penasaran iya iya lah bisa berbicara kamu garuda kuping budek,1,0,0,0,1,0,2
waktu remaja berlomba untuk tampak asing menjadi anak punk dan lain lain setelah belajar cukup menjalani sunnah otomatis terasing,0,0,0,0,0,0,0
maju kamu sini anjing nih kalau ada orang buat tshirt aku beli haha,1,0,0,0,0,0,1
jokowi diktator muka kampungan hehe,1,0,0,0,1,0,2
profil sekolah dasar negeri tidore kepulauan sekolah dasar negeri tidore kepulauan sekolah menengah pertama negeri tidore kepulauan sekolah menengah atas negeri tidore kepulauan antropologi fakultas ilmu budaya universitas halu oleo kota kendari,0,0,0,0,0,0,0
coba kamu larang ateis republik menista menodai melecehkan ajaran agama kamu mana kamu sanggup adu argumen dengan generasi sains canggi dunia tuhan saja mereka tidak akui dasar melayu goblok,0,1,0,1,0,0,2
cont xe x di x b bagus setelah ini kamu akan tahu cara memasak dan bukannya buta memasak xe x di x c dan sydney pun meletakkan kantung plastik di meja mengeluarkan satu per satu bahan sebelum mencuri pandang dan dan xe x di x b tentu saja bahan dap,0,0,0,0,0,0,0
sampai dan bom,0,0,0,0,0,0,0
aneh ya orang geblek makin banyak kalau habib rizieq shihab belum berani komentari yang mereka anggap guru besar kenapa mereka berani ya gendengnya enggak tertolong deh kalau habib rizieq dukung apa mereka hina gurunya juga dasar fira,1,0,0,0,0,0,1
maksudnya tahun bukan rezim ya,0,0,0,0,0,0,0
mungkin kah komunis syiah termasuk juga jin anu yang alergi terlalu dengan dan islam juga kebangkitan islam semoga tidak ikut terbawa dungu periode,0,1,1,0,0,0,2
topiknya anies sandi dan saracen bukan adam dan yesus anda sok tau agama pengikut ternak dulu biar seru,1,0,0,0,0,0,1
pamor rk jadi seakan tak ada artinya partai politik pendukung penista agama,0,1,1,0,0,0,2
rabi israel sebut orang berkulit hitam sebagai xe x x cmonyet xe x x di picu kecaman keras uniform resource locator,0,0,0,0,0,0,0
prabowo wajar bicara rohingya karena dia kan bukan presiden jadi seenaknya saja dong,1,0,0,0,0,0,1
ini apaan pada membicarakan antek,0,0,0,0,0,0,0
kamu cacat lesung pipi itu kecacatan sekian xf x f x x c,1,0,0,0,1,0,2
saja itu jenderal banci kayak yang bodoh,1,0,0,0,0,1,2
matamu picek a tidak duit ada memaksa beli hutang belum release baru mau disiapkan bank sudah koar nanti waktu bayar dana tidak ada jawabnya bukan urusan dungu saya plus kocak diambil semua,1,0,0,0,1,0,2
kevin sanjaya ini memang geblek,1,0,0,0,0,0,1
akibat duk hadiri jamuan hari raya nih terpaksa lah hari main elliptical machine untuk kekal fit dan bakar kalori sebagaimana nasihat trainer kena kuat dan sehat untuk lawan rejim zalim ph,0,0,0,0,0,0,0
era susilo bambang yudhoyono kritik fitnah apapun dari netz baik di media sosial atau nyata tetap aman baik baik saja sekarang diktator jokowi semua ditangkap uniform resource locator,1,0,0,0,0,0,1
dunga dungu sama orang memang kamu pintar bong,0,0,0,0,0,0,0
bacot kamu album album gue belinya juga pakai duit gue tidak merugikan emak bapak kamu ini xf x f x x xf x f x x xf x f x x dan xf x f x x di xf x f x x di xf x f x x di akibat terlalu sering dicerahami beli album,1,0,0,0,0,0,1
Partai ganyang komunis indonesia intelligence ber quotient uniform resource locator,0,1,0,1,0,0,2
tidak cukup hanya wanita yang baik bagaimana kalau wanita cacat tapi baik yang dicari baik cantik dan pintar,0,0,0,0,0,0,0
manusia apa anjing mati matian jadi murtad demi babi ahok kafir uniform resource locator,1,0,1,0,0,0,2
sudah jadi rahasia bong umum koruptor rampok pelaku maksiat pelaku bisnis maksiat kaum lgbt penjilat dukun dukun sesat cabul nabila bla bla tergabung dalam bani cebong,0,1,0,0,0,1,2
itu sudah tertawa kunti,0,0,0,0,0,0,0
pets khususnya kucing dan anjing ini memang longstream niche dari dulu sampai kapanpun salah satu pendapatan affiliate amazon terbesar adalah dari niche kucing dan anjing jualan pakan dan aksesori,0,0,0,0,0,0,0
wahai orang orang yang beriman masuklah ke dalam islam secara keseluruhan dan janganlah kamu ikuti langkah setan qs xe x xa,0,0,0,0,0,0,0
alhamdulillah tahun indonesia merdeka urang jabar gaduh bandara internasional hatur terima kasih bapak presiden sing diberi sehat bersama kekuatan untuk janten pemimpin periode semoga dikabul ku allah amin ya rabbal alamin,0,0,0,0,0,0,0
sih ahok cina kafir penista agama,1,0,1,1,0,0,3
paling belakang apa yang termutakhir haha yang paling dekat kemunculannya dengan kelahiran kamu islam apa agama kafir lain kok dibilang paling belakang paling depan itu paling dekat dengan kok kok saja yang membangkang,1,0,1,0,0,0,2
melawan indonesia belanda dipastikan menggunakan meriam bom sedangkan indonesia mengandalkan meriam bellina,0,0,0,0,0,0,0
when tumblr tiktok telegram are blokir by the government dan dan yang salah orangnya yang blokir di aplikasinya menteri komunikasi dan informasi goblok dan when a zionis kills one dan palestinian dan dasar yahudi amp boikot israel jangan beli produk kafir dan,0,1,1,1,0,0,3
akhirnya berhasil di kotak kotakan dibuat saling benci jaman susilo bambang yudhoyono tidak begini amat,1,0,0,0,0,0,1
tenaga kerja asing cina sudah berani melecehkan bendera merah putih apakah kita akan diam saja semakin tenaga asing kerja cina banyak yang datang semakin mereka arogan karena merasa kuat apalagi didukung oleh rezim penguasa dengan kemudahan tenaga kerja asing cina masuk ke negara kesatuan republik mau indonesia dijajah,0,1,0,1,0,0,2
info warga badui setelah selesai memperingati tradisi seba di pendopo pemerintah kabupaten lebak akan dilanjutkan kembali bertemu dengan gubernur banten wahidin halim hari ini sabtu sebabaduy alam banten,0,0,0,0,0,0,0
terkaya orang indonesia sampai bukan indonesia orang tapi orang cina mengerikan kalau indonesia kayak singapura nanti yang pribumi di usir,0,1,0,1,0,0,2
benar bagus p harto perumahan juga semua harus pakai bahasa indonesia malah bagus pondok indah bintaro jaya kota wisata dan lain lain sekarang pada pakai bahas asing semua residen desa hill dan lain lain hhhhh hancur tidak menghargai bahasa sendiri,0,0,0,0,0,0,0
jual kantin jual kontol jual kintin tau begitu apa pinjam duit ke saudara sendiri haha yoksi nenek ku,0,0,0,0,0,0,0
konspirasi yahudi berjalan baik efek kebodohan segelintir oknum yang mau memakan uang haram demi menggadaikan masa depan anak bangsa,0,1,1,0,0,0,2
semakin dibuka semakin kelihatan kebohongan yang jokowi lakukan bahkan terhadap rakyat kecil sekalipun pantaskah seorang penipu seperti ini dijadikan pemimpin,1,0,0,0,0,0,1
ketahuan kalau kan apakah bima idiot xf x f x x uniform resource locator,0,1,0,0,1,0,2
ajak semua muslim cari tahu muhammad siapa sebenarnya jangan sampai dia cocok enak penis bangsa ini jadi susah,0,1,1,0,0,1,3
selamat sore twit hari ini presiden jokowi memimpin rapat terbatas ratas yang membahas mengenai perkembangan persiapan asian games xviii tahun di istana kepresidenan bogor jawa barat berikut beberapa butir arahannya simak ya,0,0,0,0,0,0,0
mengenai beking ini sangat menarik apakah itu benar ibu dan adakah solusinya untuk memberantasnya percuma menurut saya nelayan asing di tenggelamkan sedangkan nelayan kecil kita kalah dan tersingkir dengan pengusaha,0,0,0,0,0,0,0
sebelum tentara saudi tiba di suriah isis banci lari ke libya uniform resource locator resource locator uniform,0,1,1,0,0,1,3
awas provokasi jokowi antek cina dan islam,1,0,0,1,0,0,2
ku yang mukanya pas umur literally kentang bukan yang mulus bersih tanpa cacat surat pemberitahuan tahunan yang kamu bilang aku can t relate skincare itu sesimpel fw saja perlu banget,0,0,0,0,0,0,0
anjir gue juga lupa sih kelewatan benar anjing jarinya sampai gue mute pokoknya dia sadar gue mute oke pokoknya terakhir jadi bella kalau tidak salah dnanya,0,0,0,0,0,0,0
he he kalau sudah begini orang lain disalahkan kasih tahu teman jangan semua orang dan bahkan sesama muslim dibilang kafir,0,0,0,0,0,0,0
betul juga sih jangan dikriminalisasi kita harus lawan dengan ide,0,0,0,0,0,0,0
wah wah temuan yang luar biasa indikasi manipulasi suara luar biasa,0,0,0,0,0,0,0
begitu begitu apaan anjir,0,0,0,0,0,0,0
light rail transit ya allah barel ada barang diduga bom merinding asli ya allah takut mana tadi sempat mau beli dimsum tidak terbayang kalau sampai kejadian xf x f x xad xf x f x xad,0,0,0,0,0,0,0
nabi adam itu nabi ibrahim itu fiksi nabi musa itu fiksi nabi nuh itu nabi bisa itu fiksi dan para ulama jadi kelihatan dungu untuk memperingati nuzul alquran tiap tahun jika mengikuti logika,1,0,1,0,0,0,2
buddha juga merendahkan al alquran,0,1,1,0,0,0,2
media sosial begitu begitu mengenalkan yang asing dan mengasingkan yang kenal,0,0,0,0,0,0,0
partai demokrasi indonesia perjuangan itu partainya preman komunis maling racist partai demokrasi indonesia perjuangan tempat berkumpul nya orang amoral,0,1,0,1,0,0,2
minoritas sekian muslim rohingya lama dizalimi,0,1,1,1,0,0,3
sadarlah wahai anak bangsa ibu pertiwi sedang diporakporandakan oleh manusia biadab sebagai aktor utama,0,1,0,0,0,0,1
banci banget anjing,1,0,0,0,0,1,2
kalau cuma cari suara cukup bangun jawa tapi presiden jokowi itu seorang negarawan yang ingin membangun konektivitas di daerah terisolir,0,0,0,0,0,0,0
edan begini mainnya pengaruh lord atep dimainkan melendot begini xf x f x x,0,0,0,0,0,0,0
sahih bukhari muslim para ulama sepakat bahwa hadis yang diriwayatkan olehimam,0,0,0,0,0,0,0
ayo mengakui agama mu apa kristen protestan ateis buddha hindu mengakui dong malu ya kamu sama agama sendiri,1,0,1,0,0,0,2
yang pb gay wibowo itu ya,1,0,0,0,0,1,2
namanya juga agama munafik,1,0,1,0,0,0,2
berengsek gue baru lihat anjeeeeng fix banget gue pingsan dulu bye uniform resource locator,1,0,0,0,0,0,1
penyuluh agama diharap ikut andil menangkal paham radikal,0,0,0,0,0,0,0
wow nanti kamu saya pilih buat jadi presiden,0,0,0,0,0,0,0
kenapa tidak selamat natal saja sekalian xf x xa f x hehe dasar admin sih bolot xf x f x x di,0,1,0,0,1,0,2
ada yang utamakan budaya bangsa kayak trah soekarno ada yang utamakan agama kayak islam politik keduanya salah yang benar itu utamakan kaum pekerja dengan mengutamakan kaum pekerja maka jasa keuangan akan merasa aman jasa keuangan merasa aman maka industri,0,0,0,0,0,0,0
sat oi budek kamu ya,1,0,0,0,1,0,2
makin ngawur saja nih nanti jadi indonesia cina sudah nih,0,1,0,1,0,0,2
ngentot yuk sayang,0,0,0,0,0,0,0
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget,0,0,0,0,0,0,0
rizieq shihab front pembela islam jancuk anjing kontol tempek anjing babi bajingan bangsat lonte balon banci bencong tai cabul pengecut cok teroris organisasi masyarakat pembela islam hizbut tahrir indonesia makar,0,1,1,0,0,1,3
kalau begitu gue onta arab salam kenal iya,0,0,0,0,0,0,0
presiden airport kertajati yang bisa menampung kurang lebih juta penumpang tahap pertama ini merupakan airport terbesar setelah soekarno hatta jokowi selesaikan kertajati,0,0,0,0,0,0,0
ngentot yukkk,0,0,0,0,0,0,0
lah gue sampai diejek kampang ya gue adalah anggap bercandaan saja,0,0,0,0,0,0,0
ngentot yuk,0,0,0,0,0,0,0
pantaslah disebut rezim islam,1,0,1,0,0,0,2
gue setan dong,0,0,0,0,0,0,0
jangan lupa adalah pendukung agama penista ahok resource uniform locator,0,1,1,0,0,0,2
bilang sayang kamu juga yang meninggalkan gue lebih dahulu kontol,1,0,0,0,0,1,2
cina itu racist makanya jangan cina kuasai dominasi ri lihat cina usir melayu dari kampungnya,0,1,0,1,0,0,2
bukannya malu malah dasar idiot,1,0,0,0,1,0,2
oh iya kunti maaf saya kira ibu mertua,0,0,0,0,0,0,0
umat islam itu dibutuhkan kalau pas pemilihan umum saja sesudah itu diinjak kita daftar hitam partai politik dan anti islam,0,1,1,0,0,0,2
taplak meja warung tegal mana ganteng begini,0,0,0,0,0,0,0
bawang putih komunis yang dimakan,0,0,0,0,0,0,0
banci ya,1,0,0,0,0,1,2
dia adalah selalu cerita soal mantan nya kan gue kesal girls begini kamu dipilih bukan cuma buat menerima dia sekarang doang tetapi juga menerima busuk baik bejat berengseknya dia terus perbaiki bareng begitu,0,0,0,0,0,0,0
apa mentang didanai kafir kenapa mentang aparat pro,1,0,1,0,0,0,2
pak saya harap kementerian agama mau menggelar diskusi terbuka beradab saya siap memberi penjelasan,0,0,0,0,0,0,0
sampai bila bila hati tak akan bersih dengan melihat orang dengan mata yang merendahkan martabat orang lain apa worst thinking kamu are any better tahan them perangai hampir sama dengan iblis,0,0,0,0,0,0,0
kalau menganggapnya tidak enak haram berarti dia kafir fix,1,0,0,0,0,0,1
neng andi minum kopi dulu gih dan xf x f x x congor kamu korsleting xf x f x x,1,0,0,0,1,0,2
masih percaya sama saja cina heran semua pejabat di indonesia ini sama jongos cina dan kristen tegakkan islam hukum usir cina,0,1,1,1,0,0,3
indonesia itu musibah buat islam umat tetapi berkah buat orang amp cina kristen,0,1,1,1,0,0,3
hanya kaum bani cabul yang bisa di bohongi dan bahkan untuk makan pun dia berbohong katakan mau pulang agar ada donatur xf x f x x xf x f x x xf x f x x dan rasakanlah azab allah xf x f xa xa xf x f,0,1,0,0,0,1,2
tidak pernah al mendalami alquran ya bang saja pantas mulutnya kayak orang kafir bejat hina,1,0,1,0,0,0,2
ibu sarap kok tega sih memperlakukan anak sendiri surat pemberitahuan tahunan hewan kalau jadi suaminya gue ambil itu anak gue laporkan polisi amp gue ceraikan langsung cih najis sama perempuan kayak begitu,1,0,0,0,0,1,2
sungguh cerdas dan brilian congor nih menteri,1,0,0,0,0,0,1
matanya picek sih babang,1,0,0,0,1,0,2
cosplay dan pemilik surai putih memiringkan kepalanya penasaran ada bingung pun ada dia pun memutari sebentar sosok asing di depannya itu dan dan cosplay apa,0,0,0,0,0,0,0
sama ulasan ekonomi harian rabu april reksadana reksadana sam riset harian berita ekonomi makroekonomi market update samual aset manajemen,0,0,0,0,0,0,0
artis kalau asalnya dari kampung mau di juga gmnin tetap saja udik kampungan segala handphone anak gue lah mencemplungkan di gue beli pakai keringat halal bukan hasil mengangkangi laki orang,0,1,0,1,0,1,3
hinaan dari satu orang saja sudah bisa membuatmu lemah dalam perasaan hina apakah engkau selemah itu,0,0,0,0,0,0,0
kementerian pak agama tak perlu teroris urus islam tapi orang seperti anda gus mus agar buang islam,0,1,1,0,0,0,2
dijodohkan presiden pengantin wanita tajikistan tampak sedih,0,0,0,0,0,0,0
ngupiii ah,0,0,0,0,0,0,0
bagaimana gimanaaaa cerita di barel ada allegedly tas isinya bom astagfirullah,0,0,0,0,0,0,0
umat islam yang kamu maksud front pembela islam hati mereka bukan muslim tetapi penista islam bajingan mereka itu muslim tidak berbuat onar pengecut lari dari tinggi jawab setelah mesum kenapa islam apa islam giliran mesum apa itu islam berbuat onar itu islam,0,1,1,0,0,1,3
banci kalau memang gentleman sebut siapa,1,0,0,0,0,1,2
kaleng,1,0,0,0,0,1,2
ab pribadi yang senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0
orang yang suka prabowo berarti partai komunis indonesia uniform resource locator,0,1,0,1,0,0,2
manis nih orang,1,0,0,0,1,0,2
yang makar omonganmu zon adu domba dan bawa nama islam agama pegangan hidup jangan sok suci kamu zon mulutmu dower banyak bacot,1,0,0,0,1,0,2
dibanding beli go xxxd dengan ongkos kirim aku pakai kakiku jalan menit dari kampus ke tempat makan cari makan juga yang banyak terus harga lumayan di sini ribu kamu dapat telur dadar ayam kare sama sayur tumis kacang panjang bro itu lumayan,0,0,0,0,0,0,0
oh kamu ngewe mamak lah kamu lahir dari hasil inses kamu sama mamak kamu ih ini bagaimana sih sampai ibunya di ngewe kamu kelakuan anak haram kayak kamu seram ya sudah jadi hater pemerintah ter,1,0,0,0,0,1,2
yang satu adalah foto terus tidak dimana foto sendiri lagi aduh,0,0,0,0,0,0,0
rezim rezim komunis itu memang biadab tidak ada satu pun komunis rezim yang berbudaya catet itu bukan partai komunis indonesia korbannya,0,1,0,1,0,0,2
memangnya nih partai kalau mengeluarkan yang percaya lah isinya jongos cina komunis semua,0,1,0,1,0,0,2
makanya tuntut golkar agar pecat setya novanto dari dewan perwakilan rakyat dan pembelanya mundur dari pimpinan kalau punya malu,0,1,0,0,0,0,1
emak kamu ya bajingan anak pelacur kamu,1,0,0,0,0,1,2
pak mahfud md sudah berpaling dari allah subhanahu taala wa pemberang demi bangsa semua ajak buang islam,0,1,1,0,0,0,2
sama sekali tidak yang malu malu itu sudah sok orang jadi kaya baru tetapi nihil prestasi malah kena denda lagi malu banget dasar cina belum ky begitu itu,1,0,0,1,0,0,2
haha plonga kafir plongo nih muka banci salon xf x f x x xf f x xa xa xf x f x x xf x f x x uniform resource locator,1,0,1,0,1,1,4
ganyang partai komunis indonesia dan antek orang orang dan partai pendukungnya uniform locator,0,1,0,1,0,0,2
jadi ingat dialog neo dengan oracle di the matrix oracle apa yang diinginkan seorang penguasa neo hening oracle kekuasaan yang lebih besar,0,0,0,0,0,0,0
setuju memang partai keadilan sejahtera bukan partai komunis indonesia cara partai komunis indonesia ini persis seperti cara partai keadilan sejahtera menggaet golongan akar rumput dengan isu maka dari itu partai keadilan sejahtera disebut partai komunis syariat,0,1,1,1,0,0,3
bunda ngentot yuk,0,0,0,0,0,0,0
apanya yang kebuka kemunafikannya,1,0,0,0,0,0,1
karena mereka ingin mengganti demokrasi pancasila dengan demokrasi komunis partai indonesia yang bertuhan tidak yang bebas perzinaan minuman keras lgbt partai komunis indonesia bukan indonesia,0,1,0,1,0,0,2
ayo pak polisi tangkap dan usir sih raja kodok komunis dari istana sebelum dia dan para cebong cina komunis menghancurkan negara kesatuan republik indonesia,0,1,0,1,0,0,2
tersedak kentang gue wkwk tolol memek anjing,1,0,0,0,0,1,2
oi turonggo bom kajakkk,0,0,0,0,0,0,0
suka suka guelah mau menulis halu kayak gila kayak sarap kayak sedeng kayak delusi kayak yang penting gue bukan anak rupiah tidak malu memalukan citra idol,0,0,0,0,0,0,0
alay kamu tong kampungan,1,0,0,0,0,0,1
tolol memang kelompok anjing,0,1,0,0,0,0,1
anyway mandangkan semalam ada orang back up sangat golongan elite dan kutuk orang yang suara out the ketidakadilan from the ric xe x xa,0,0,0,0,0,0,0
hoi gay banci situ kafir ya mengerti tidak kalau di orang yang sudah hijrah menggunakan wajib buat saudara seiman menutupi masa lalunya yang negatif dasar kaum laknatullah alaih,1,0,1,0,0,1,3
nih cara bicara orang masih ingusan bicara nya sudah sangat ngawur dan keterlaluan dan nya akhir gue di blok banci kamu uniform locator resource,1,0,0,0,0,1,2
cina dari balaan juragan ng,0,1,0,1,0,0,2
bencong bencong teriak,1,0,0,0,0,1,2
insyaallah di indonesia nantinya setelah ganti presiden rakyat negeri ini juga akan bahu membahu menyelesaikan masalah nya,0,0,0,0,0,0,0
kok tapi ya ada orang orang islam yang mau tunduk diketiak rezim yang anti ini islam cc,0,1,1,0,0,0,2
banci kaleng malu tidak bisa jawab pertanyaan kami dari hari lalu nyungsep koe uniform resource locator,1,0,0,0,0,1,2
mereka yang membela cina keparat itu tak ubahnya anjing buduk ingin marah enyahkan para cina keparat di bumi negara kesatuan republik indonesia sumpah bagi cina yang hidup di indonesia untuk setia tanah air bila mereka tak bersum,0,1,0,1,0,0,2
kaum cebong kafir kelihatan sudah dongoknya dari tambah awal dungu lagi haha,0,1,1,0,0,0,2
mumpung gue lagi tidak puasa dan tidak ngentot,1,0,0,0,0,1,2
nusantara tidak bedanya sama cebong nusantara,0,1,1,0,0,0,2
fitnah dosa umpama membunuh tak sedar taulah ke tidak yang cina buku xc xb islam fitnah itu lantaklah dia nih yang konon islam nih apa cerita,0,1,1,1,0,0,3
dalam agama yahudi dan nasrani nabi idris dikenal dengan nama henokh,0,0,0,0,0,0,0
berdayakan ekonomi pesantren ulama jawa barat dukung jokowi di pemilihan presiden tetap jokowi,0,0,0,0,0,0,0
semoga dilancarkan mayoritas pemilih di jawa timur menginginkan saifullah yusuf atau gus ipul menjadi gubernur provinsi jawa timur semua bersaudara semua makmur gus ipul puti menang gus ipul mbak puti,0,0,0,0,0,0,0
akunya memilih bom,0,0,0,0,0,0,0
anjing kamu komen apa kamu mention cebong budug takut kamu anjing xf x f x x xf x f x x xf x f x x,1,0,0,0,0,0,1
